29,490.00	32
28,160.00	33.8
26,890.00	35.6
25,690.00	37.4
24,540.00	39.2
23,460.00	41
22,430.00	42.8
21,440.00	44.6
20,510.00	46.4
19,620.00	48.2
18,780.00	50
17,980.00	51.8
17,210.00	53.6
16,480.00	55.4
15,790.00	57.2
15,130.00	59
14,500.00	60.8
13,900.00	62.6
13,330.00	64.4
12,780.00	66.2
12,260.00	68
11,770.00	69.8
11,290.00	71.6
10,840.00	73.4
10,410.00	75.2
10,000.00	77
9,602.00	78.8
9,226.00	80.6
8,866.00	82.4
8,522.00	84.2
8,194.00	86
7,879.00	87.8
7,579.00	89.6
7,291.00	91.4
7,016.00	93.2
6,752.00	95
6,500.00	96.8
6,258.00	98.6
6,027.00	100.4
5,805.00	102.2
5,592.00	104
5,389.00	105.8
5,194.00	107.6
5,007.00	109.4
4,827.00	111.2
4,655.00	113
4,490.00	114.8
4,331.00	116.6
4,179.00	118.4
4,033.00	120.2
3,893.00	122
3,758.00	123.8
3,629.00	125.6
3,505.00	127.4
3,385.00	129.2
3,271.00	131
3,160.00	132.8
3,054.00	134.6
2,952.00	136.4
2,854.00	138.2
2,760.00	140
2,669.00	141.8
2,582.00	143.6
2,498.00	145.4
2,417.00	147.2
2,339.00	149
2,264.00	150.8
2,191.00	152.6
2,122.00	154.4
2,055.00	156.2
1,990.00	158
1,928.00	159.8
1,868.00	161.6
1,810.00	163.4
1,754.00	165.2
1,700.00	167
1,648.00	168.8
1,598.00	170.6
1,550.00	172.4
1,503.00	174.2
1,458.00	176
